id,bill_length_mm,bill_depth_mm
101,35,17.9
102,41,20
103,37.7,16
104,37.8,20
105,37.9,18.6
106,39.7,18.9
107,38.6,17.2
108,38.2,20
109,38.1,17
110,43.2,19
111,38.1,16.5
112,45.6,20.3
113,39.7,17.7
114,42.2,19.5
115,39.6,20.7
116,42.7,18.3
117,38.6,17
118,37.3,20.5
119,35.7,17
120,41.1,18.6
121,36.2,17.2
122,37.7,19.8
123,40.2,17
124,41.4,18.5
125,35.2,15.9
126,40.6,19
127,38.8,17.6
128,41.5,18.3
129,39,17.1
130,44.1,18
131,38.5,17.9
132,43.1,19.2
133,36.8,18.5
134,37.5,18.5
135,38.1,17.6
136,41.1,17.5
137,35.6,17.5
138,40.2,20.1
139,37,16.5
140,39.7,17.9
141,40.2,17.1
142,40.6,17.2
143,32.1,15.5
144,40.7,17
145,37.3,16.8
146,39,18.7
147,39.2,18.6
148,36.6,18.4
149,36,17.8
150,37.8,18.1
151,36,17.1
152,41.5,18.5
233,49.1,14.5
234,52.5,15.6
235,47.4,14.6
236,50,15.9
237,44.9,13.8
238,50.8,17.3
239,43.4,14.4
240,51.3,14.2
241,47.5,14
242,52.1,17
243,47.5,15
244,52.2,17.1
245,45.5,14.5
246,49.5,16.1
247,44.5,14.7
248,50.8,15.7
249,49.4,15.8
250,46.9,14.6
251,48.4,14.4
252,51.1,16.5
253,48.5,15
254,55.9,17
255,47.2,15.5
256,49.1,15
257,47.3,13.8
258,46.8,16.1
259,41.7,14.7
260,53.4,15.8
261,43.3,14
262,48.1,15.1
263,50.5,15.2
264,49.8,15.9
265,43.5,15.2
266,51.5,16.3
267,46.2,14.1
268,55.1,16
269,44.5,15.7
270,48.8,16.2
271,47.2,13.7
272,NA,NA
273,46.8,14.3
274,50.4,15.7
275,45.2,14.8
276,49.9,16.1
321,50.9,17.9
322,50.8,18.5
323,50.1,17.9
324,49,19.6
325,51.5,18.7
326,49.8,17.3
327,48.1,16.4
328,51.4,19
329,45.7,17.3
330,50.7,19.7
331,42.5,17.3
332,52.2,18.8
333,45.2,16.6
334,49.3,19.9
335,50.2,18.8
336,45.6,19.4
337,51.9,19.5
338,46.8,16.5
339,45.7,17
340,55.8,19.8
341,43.5,18.1
342,49.6,18.2
343,50.8,19
344,50.2,18.7
